POS_X,POS_Y,POS_Z
2.68971,-305.837,-15.7072
3.31363,-307.062,-15.6352
4.00558,-308.42,-15.5553
4.64827,-309.681,-15.4811
5.27675,-311.098,-15.3998
5.72385,-312.465,-15.3244
6.21265,-313.969,-15.2415
6.57367,-315.494,-15.1593
6.83534,-316.84,-15.0874
7.13477,-318.38,-15.0052
7.37579,-319.62,-14.939
7.67585,-321.164,-14.8566
7.95762,-322.613,-14.7792
8.25818,-324.159,-14.6966
8.55776,-325.7,-14.6143
8.86132,-327.261,-14.5309
9.16212,-328.809,-14.4483
9.40236,-330.044,-14.3823
9.66601,-331.4,-14.3099
9.9608,-332.917,-14.2289
10.2429,-334.368,-14.1515
10.5377,-335.884,-14.0705
10.7998,-337.232,-13.9985
11.1471,-338.715,-13.9186
11.5709,-340.193,-13.838
12.0076,-341.716,-13.755
12.3878,-343.041,-13.6827
12.8185,-344.512,-13.6024
13.3417,-345.958,-13.5218
13.8871,-347.456,-13.4382
14.3631,-348.764,-13.3652
14.8893,-350.209,-13.2846
15.2786,-351.388,-13.2195
15.7128,-352.808,-13.1417
16.1659,-354.29,-13.0605
16.6125,-355.75,-12.9804
17.0373,-357.14,-12.9043
17.4946,-358.635,-12.8223
17.9531,-360.135,-12.7401
18.361,-361.468,-12.667
18.7688,-362.802,-12.5939
19.207,-364.235,-12.5153
19.5592,-365.387,-12.4522
19.9671,-366.721,-12.3791
20.3812,-368.075,-12.3048
20.8474,-369.6,-12.2213
21.1944,-370.734,-12.1591
21.6492,-372.222,-12.0776
22.1127,-373.737,-11.9945
22.5533,-375.178,-11.9155
23.0142,-376.685,-11.8329
23.4031,-377.957,-11.7632
23.8397,-379.384,-11.685
24.294,-380.869,-11.6035
24.7423,-382.335,-11.5232
25.1918,-383.805,-11.4426
25.6462,-385.291,-11.3612
26.1011,-386.778,-11.2797
26.5398,-388.212,-11.201
26.9961,-389.704,-11.1193
27.4333,-391.134,-11.0409
27.8671,-392.552,-10.9632
28.3015,-393.972,-10.8853
28.8595,-395.353,-10.8072
29.7045,-396.738,-10.722
30.5426,-397.723,-10.6542
31.7066,-398.735,-10.5733
33.3466,-399.926,-10.467
34.609,-400.744,-10.3881
36.0611,-401.423,-10.304
37.4822,-401.909,-10.2252
